N°,Nombre / Descripción, PRECIO POR UNIDAD X MAYOR,CANT. MINIMA X MAYOR, PRECIO X MAYOR,TOTAL,LINK DE PRODUCTOS
,Resaltador Artesco Metálico X 4 Und, S/  9.21 ,6, S/  55.26 ,,
,Resaltador Ove Amarillo X 1 Und, S/  1.08 ,10, S/  10.80 ,,https://clip.com.pe/producto/resaltador-ove-amarillo-x-1-und-15527
,Resaltador Ove Naranja X 1 Und, S/  1.08 ,10, S/  10.80 ,,https://clip.com.pe/producto/resaltador-ove-naranja-x-1-und-42590
,Resaltador Ove Verde X 1 Und, S/  1.08 ,10, S/  10.80 ,,https://clip.com.pe/producto/resaltador-ove-verde-x-1-und-42589
,Resaltador Plumón Mini Grip Artesco X6 Neón, S/  3.36 ,6, S/  20.16 ,,
S,Set de Alfileres Uso Diario en Disco Paquete X 12 Und, S/  4.70 ,3, S/  14.10 ,,https://clip.com.pe/producto/set-de-alfileres-uso-diario-en-disco-paquete-x-12-und-30002
,Silicona De Barra Ove Delgada 800G, S/  13.90 ,3, S/  41.70 ,,
,Silicona De Barra Ove Gruesa 800G, S/  13.90 ,3, S/  41.70 ,,
,Silicona Líquida Artesco 100 Ml, S/  2.16 ,12, S/  25.92 ,,https://clip.com.pe/producto/silicona-liquida-artesco-100-ml-2856
,Silicona Líquida Artesco 250 Ml, S/  3.90 ,12, S/  46.80 ,,https://clip.com.pe/producto/silicona-liquida-artesco-250-ml-2857.
,Silicona Líquida Artesco 30 ml, S/  1.09 ,12, S/  13.08 ,,https://clip.com.pe/producto/silicona-liquida-artesco-30ml-2855
,Sobre Manila Graphos A4 Paquete X 50 Und, S/  7.51 ,5, S/  37.55 ,,https://clip.com.pe/producto/sobre-manila-graphos-a4-paquete-x-50-und-1261
T,Tajador Metal Depósito Doble Pastel Artesco Caja X12, S/  3.21 ,12, S/  38.52 ,,https://clip.com.pe/producto/tajador-plastico-deposito-doble-tambor-vinifancax12-29084
,Tajador Ove Plástico Caja X 24, S/  4.00 ,1, S/  4.00 ,,
,Tajador Plástico Depósito Doble Neón Vinifan Caja X 12 Und, S/  1.54 ,12, S/  18.48 ,,https://clip.com.pe/producto/tajador-plastico-deposito-doble-neon-vinifancax12-25312
,Tajador Plástico Depósito Simple Funky+ Borrador Vinifan Caja X 12 Und, S/  18.00 ,1, S/  18.00 ,,
,Transportador Artesco, S/  0.61 ,25, S/  15.25 ,,https://clip.com.pe/producto/transportador-artesco-180-x-10-cm-292
,Chinches Dorados Ove 10 Mm X 100 Und, S/  0.90 ,12, S/  10.80 ,,
,Palito De Chupete Dragon Paquete X 50 Colores, S/  1.31 ,6, S/  7.86 ,,
,Palito De Chupete Dragon Grueso De Color Paquete X 40 Und, S/  1.80 ,8, S/  14.40 ,,
,Palito De Chupete Natural X 80 Und, S/  0.93 ,12, S/  11.16 ,,
,Palito De Chupete Grueso Natural, S/  2.03 ,12, S/  24.36 ,,
,Chinches De Colores Ove 10 Mm X 100 Und, S/  1.50 ,10, S/  15.00 ,,
,Chinches De Colores Ove Push Pins 10 Mm X 50 Und, S/  0.85 ,10, S/  8.50 ,,
,INAMBARI - Ojos Móviles,,, S/  -   ,,
,Microporoso Escarchado A4 Surtido X 10 Und, S/  3.40 ,5, S/  17.00 ,,
,Punzón Evaflex Caja X25, S/  39.57 ,1, S/  39.57 ,,
,Tampón Artesco Negro Para Huella Digital, S/  2.77 ,12, S/  33.24 ,,
